tournament_year,match_date,stage,home_team_name,away_team_name,home_team_norm,away_team_norm,home_score,away_score,stadium_name,city,referee_name,attendance,home_manager_name,away_manager_name,tournament_id,match_id,home_team_id,away_team_id,stadium_id,referee_id,home_manager_id,away_manager_id,result,target
1938,1938-06-05,Round of 16,Hungary,Dutch East Indies,hungary,dutch east indies,6,0,"Velodrome Municipale, Reims",France,Roger Conrie,9000,Karoly Dietz,Johannes Van Mastenbroek,wc_1938,match_abef2e1e7c00,team_3b4bbcb74728,team_f0fb186afcee,stadium_e615462e4fdb,referee_069095beb024,manager_9d6c2067ec81,manager_49cffd24d0bf,home_win,0
1938,1938-06-05,Round of 16,France,Belgium,france,belgium,3,1,"Stade Olympique, Colombes",France,Hans Wuethrich,30454,Gaston Barreau,Jack Butler,wc_1938,match_ae6015097a01,team_e165d4f2174b,team_73fa01094ea6,stadium_688ea273ef19,referee_87febc9d770e,manager_8d91e3f5e9fd,manager_62f32f5003d4,home_win,0
1938,1938-06-09,Round of 16,Switzerland,Germany,switzerland,germany,4,2,"Parc des Princes, Paris",France,Ivan Eklind,20025,Karl Rappan,Sepp Herberger,wc_1938,match_9f9d304a9fc2,team_0d9c575f4f02,team_28ef36b35ae8,stadium_9635a3d5076a,referee_6b8d4b9bbfb3,manager_9cd122c8aa39,manager_8fa231841930,home_win,0
1938,1938-06-09,Round of 16,Cuba,Romania,cuba,romania,2,1,"Stade Municipal, Toulouse",France,Alfred Birlem,8000,Jose Tapia,Coloman Braun,wc_1938,match_c1f0f2af1dea,team_2b84cd5da64a,team_89055f975d7d,stadium_2e57d8fbdcd6,referee_bca662e242d5,manager_9ff8efa8fe6d,manager_803d86f85962,home_win,0
1938,1938-06-12,Quarter-finals,Brazil,Czechoslovakia,brazil,czechoslovakia,1,1,"Stade du Parc Lescure, Bordeaux",France,Pal Von Hertzka,22021,Ademar Pimenta,Vaclav Meissner,wc_1938,match_49c041a9d519,team_6e5fa4d9c48c,team_43c05d43f993,stadium_6224a69ab8e0,referee_69a1d2b2e1ff,manager_17b2d2660c59,manager_b2d47a593c8f,draw,1
1938,1938-06-12,Quarter-finals,Sweden,Cuba,sweden,cuba,8,0,"Fort Carree, Antibes",France,Gustav Krist,7000,Joszef Nagy,Jose Tapia,wc_1938,match_6f29230b93ba,team_88e52ee42fd0,team_2b84cd5da64a,stadium_9c4b0cb93a2e,referee_e27f81bf88b5,manager_50fe938de3e3,manager_9ff8efa8fe6d,home_win,0
1938,1938-06-12,Quarter-finals,Hungary,Switzerland,hungary,switzerland,2,0,"Victor Boucquey, Lille",France,Rinaldo Barlassina,15000,Karoly Dietz,Karl Rappan,wc_1938,match_9c2f18f8b712,team_3b4bbcb74728,team_0d9c575f4f02,stadium_9e90719c6c07,referee_73d0dec62d33,manager_9d6c2067ec81,manager_9cd122c8aa39,home_win,0
1938,1938-06-12,Quarter-finals,Italy,France,italy,france,3,1,"Stade Olympique, Colombes",France,Louis Baert,58455,Vittorio Pozzo,Gaston Barreau,wc_1938,match_d4bfa34ab5c4,team_bab4ac375ada,team_e165d4f2174b,stadium_688ea273ef19,referee_ce0106083756,manager_47bebc77b4f0,manager_8d91e3f5e9fd,home_win,0
1938,1938-06-14,Quarter-finals,Brazil,Czechoslovakia,brazil,czechoslovakia,2,1,"Stade du Parc Lescure, Bordeaux",France,Georges Capdeville,18141,Ademar Pimenta,Vaclav Meissner,wc_1938,match_698a34954c59,team_6e5fa4d9c48c,team_43c05d43f993,stadium_6224a69ab8e0,referee_939c01176684,manager_17b2d2660c59,manager_b2d47a593c8f,home_win,0
1938,1938-06-16,Semi-finals,Italy,Brazil,italy,brazil,2,1,"Stade Vï¿½lodrome, Marseilles",France,Hans Wuethrich,33000,Vittorio Pozzo,Ademar Pimenta,wc_1938,match_08dfab23e187,team_bab4ac375ada,team_6e5fa4d9c48c,stadium_2d3ceb989423,referee_87febc9d770e,manager_47bebc77b4f0,manager_17b2d2660c59,home_win,0
1938,1938-06-16,Semi-finals,Hungary,Sweden,hungary,sweden,5,1,"Parc des Princes, Paris",France,Lucien Leclercq,20000,Karoly Dietz,Joszef Nagy,wc_1938,match_d2150df5b6bc,team_3b4bbcb74728,team_88e52ee42fd0,stadium_9635a3d5076a,referee_9a48a38a290c,manager_9d6c2067ec81,manager_50fe938de3e3,home_win,0
1938,1938-06-19,Third-place match,Brazil,Sweden,brazil,sweden,4,2,"Stade du Parc Lescure, Bordeaux",France,Jean Langenus,12000,Ademar Pimenta,Joszef Nagy,wc_1938,match_4ca552eeb4de,team_6e5fa4d9c48c,team_88e52ee42fd0,stadium_6224a69ab8e0,referee_921f43e400a1,manager_17b2d2660c59,manager_50fe938de3e3,home_win,0
1938,1938-06-19,Final,Italy,Hungary,italy,hungary,4,2,"Stade Olympique, Colombes",France,Georges Capdeville,45000,Vittorio Pozzo,Karoly Dietz,wc_1938,match_4e1d6b318cfb,team_bab4ac375ada,team_3b4bbcb74728,stadium_688ea273ef19,referee_939c01176684,manager_47bebc77b4f0,manager_9d6c2067ec81,home_win,0
1950,1950-06-24,Group stage,Brazil,Mexico,brazil,mexico,4,0,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Brazil,George Reader,81649,Flavio Costa,Octavio Vial,wc_1950,match_023ba36757a4,team_6e5fa4d9c48c,team_4edfc924721a,stadium_09fc03af58ca,referee_2a6bcb89330d,manager_7e04271e5701,manager_b9f656186348,home_win,0
1950,1950-06-25,Group stage,Spain,United States,spain,united states,3,1,"Durival de Brito, Curitiba",Brazil,Mario Viana,9511,Guillermo Eizaguirre,Bill Jeffrey,wc_1950,match_1841dd45c63c,team_1747d4b2dd4b,team_152649df347e,stadium_2725b5d01942,referee_46f15e43e388,manager_ab5ebaeb0f89,manager_3e8c0be97c99,home_win,0
1950,1950-06-25,Group stage,England,Chile,england,chile,2,0,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Brazil,Karel Van Der Meer,29703,Walter Winterbottom,Arturo Bucciardi,wc_1950,match_39c68ff9f894,team_f48861ca24e2,team_fd317045cbdc,stadium_09fc03af58ca,referee_f26a96f30b0d,manager_ca61bffe8513,manager_529fcf57d6f7,home_win,0
1950,1950-06-25,Group stage,Sweden,Italy,sweden,italy,3,2,"Pacaembu, Sao Paulo",Brazil,Jean Lutz,36502,George Raynor,Ferruccio Novo,wc_1950,match_98fb6a009912,team_88e52ee42fd0,team_bab4ac375ada,stadium_5190bbd27fc4,referee_0cee3491ba69,manager_76b3cec39f71,manager_57a5cbf7bf6b,home_win,0
1950,1950-06-25,Group stage,Yugoslavia,Switzerland,yugoslavia,switzerland,3,0,"Independencia, Belo Horizonte",Brazil,Giovanni Galeati,7336,Milorad Arsenijevic,Franco Andreoli,wc_1950,match_b9df331dc2d8,team_950ebd5e5210,team_0d9c575f4f02,stadium_f21c01d7cdcb,referee_c451deaab919,manager_8612777446ca,manager_8ed36b471009,home_win,0
1950,1950-06-28,Group stage,Yugoslavia,Mexico,yugoslavia,mexico,4,1,"Eucaliptos, Porto Alegre",Brazil,Reginald Leafe,11078,Milorad Arsenijevic,Octavio Vial,wc_1950,match_a9d747a594e7,team_950ebd5e5210,team_4edfc924721a,stadium_76765b6451ae,referee_30f5bafa26c8,manager_8612777446ca,manager_b9f656186348,home_win,0
1950,1950-06-28,Group stage,Brazil,Switzerland,brazil,switzerland,2,2,"Pacaembu, Sao Paulo",Brazil,Ramon Azon Roma,42032,Flavio Costa,Franco Andreoli,wc_1950,match_d8114e4a7e7f,team_6e5fa4d9c48c,team_0d9c575f4f02,stadium_5190bbd27fc4,referee_219d3929593a,manager_7e04271e5701,manager_8ed36b471009,draw,1
1950,1950-06-29,Group stage,United States,England,united states,england,1,0,"Independencia, Belo Horizonte",Brazil,Generoso Dattilo,10151,Bill Jeffrey,Walter Winterbottom,wc_1950,match_68d4c043cb5f,team_152649df347e,team_f48861ca24e2,stadium_f21c01d7cdcb,referee_c5045d1159db,manager_3e8c0be97c99,manager_ca61bffe8513,home_win,0
1950,1950-06-29,Group stage,Sweden,Paraguay,sweden,paraguay,2,2,"Durival de Brito, Curitiba",Brazil,Robert Mitchell,7903,George Raynor,Manuel Fleitas Solich,wc_1950,match_711f0efcf368,team_88e52ee42fd0,team_3bafbfd8bf5e,stadium_2725b5d01942,referee_e2ee2f1f2e6d,manager_76b3cec39f71,manager_f63072b8654e,draw,1
