team_id,team_name,team_norm,tournament_id,tournament_year,fifa_rank_pre_tournament,fifa_points_pre_tournament,fifa_previous_points_pre_tournament,fifa_diff_points_pre_tournament,fifa_ranking_date,team_tournament_id
team_e762c470514b,Soviet Union,soviet union,wc_1970,1970,,,,,,team_tournament_e5d1fce3e325
team_9142ac5b229c,Uruguay,uruguay,wc_1970,1970,,,,,,team_tournament_15b102d981e9
team_3f8454b7f2c1,Israel,israel,wc_1970,1970,,,,,,team_tournament_517db1a68c4a
team_32e8419a7ecb,Peru,peru,wc_1970,1970,,,,,,team_tournament_ef73fe9c4567
team_db5f14430304,Bulgaria,bulgaria,wc_1970,1970,,,,,,team_tournament_9034ed593913
team_f48861ca24e2,England,england,wc_1970,1970,,,,,,team_tournament_c9c193427861
team_89055f975d7d,Romania,romania,wc_1970,1970,,,,,,team_tournament_4c5a7164c479
team_79efb284d3e2,West Germany,west germany,wc_1970,1970,,,,,,team_tournament_316e0afc750e
team_217b6e5f0a09,Morocco,morocco,wc_1970,1970,,,,,,team_tournament_132f1880d210
team_bab4ac375ada,Italy,italy,wc_1970,1970,,,,,,team_tournament_a2f9aff7c530
team_88e52ee42fd0,Sweden,sweden,wc_1970,1970,,,,,,team_tournament_43fe90e4f400
team_73fa01094ea6,Belgium,belgium,wc_1970,1970,,,,,,team_tournament_3865a71ed26c
team_eedf141a7e7b,El Salvador,el salvador,wc_1970,1970,,,,,,team_tournament_e68e8b26809b
team_6e5fa4d9c48c,Brazil,brazil,wc_1970,1970,,,,,,team_tournament_f7e40423a412
team_43c05d43f993,Czechoslovakia,czechoslovakia,wc_1970,1970,,,,,,team_tournament_253a21d8a3d0
team_6e5fa4d9c48c,Brazil,brazil,wc_1974,1974,,,,,,team_tournament_07d37852a284
team_950ebd5e5210,Yugoslavia,yugoslavia,wc_1974,1974,,,,,,team_tournament_902cdc199418
team_00f3af1ef8f9,Germany DR,germany dr,wc_1974,1974,,,,,,team_tournament_898f29d177cb
team_fb2a54d63748,Australia,australia,wc_1974,1974,,,,,,team_tournament_6ebede79a0c0
team_79efb284d3e2,West Germany,west germany,wc_1974,1974,,,,,,team_tournament_227b4ede8826
team_fd317045cbdc,Chile,chile,wc_1974,1974,,,,,,team_tournament_0b18127c006f
team_e3a5090ba681,Zaire,zaire,wc_1974,1974,,,,,,team_tournament_beec52aabb63
team_b0ce0b49f97d,Scotland,scotland,wc_1974,1974,,,,,,team_tournament_6501af8d2998
team_88e52ee42fd0,Sweden,sweden,wc_1974,1974,,,,,,team_tournament_3fd48b88360e
team_db5f14430304,Bulgaria,bulgaria,wc_1974,1974,,,,,,team_tournament_c892ea0ffdd7
team_9142ac5b229c,Uruguay,uruguay,wc_1974,1974,,,,,,team_tournament_c71d3928b9f1
team_6123486432d2,Netherlands,netherlands,wc_1974,1974,,,,,,team_tournament_82e6c27c9e24
team_bab4ac375ada,Italy,italy,wc_1974,1974,,,,,,team_tournament_f6a4e39ec127
team_87b190830af9,Haiti,haiti,wc_1974,1974,,,,,,team_tournament_b402542b9cbc
team_6f08c5ddcdd0,Poland,poland,wc_1974,1974,,,,,,team_tournament_ee4992b7cadb
team_2a52adc7b1da,Argentina,argentina,wc_1974,1974,,,,,,team_tournament_8e0dbffafab0
team_79efb284d3e2,West Germany,west germany,wc_1978,1978,,,,,,team_tournament_815311313d2f
team_6f08c5ddcdd0,Poland,poland,wc_1978,1978,,,,,,team_tournament_b20229bb192f
team_6b07fd4ea837,Tunisia,tunisia,wc_1978,1978,,,,,,team_tournament_3258a94e0aab
team_4edfc924721a,Mexico,mexico,wc_1978,1978,,,,,,team_tournament_664d946d39ee
team_bab4ac375ada,Italy,italy,wc_1978,1978,,,,,,team_tournament_3a28d497a452
team_e165d4f2174b,France,france,wc_1978,1978,,,,,,team_tournament_88d4425ed1c1
team_2a52adc7b1da,Argentina,argentina,wc_1978,1978,,,,,,team_tournament_5ee8a7f57301
team_3b4bbcb74728,Hungary,hungary,wc_1978,1978,,,,,,team_tournament_e1aceaa2da2d
team_6cd0c266688a,Austria,austria,wc_1978,1978,,,,,,team_tournament_0e34e9eb0953
team_1747d4b2dd4b,Spain,spain,wc_1978,1978,,,,,,team_tournament_cb60abdc3578
team_6123486432d2,Netherlands,netherlands,wc_1978,1978,,,,,,team_tournament_ee8fd667c9b3
team_6f0a7d56c2cd,IR Iran,iran,wc_1978,1978,,,,,,team_tournament_65e54cba66a2
team_88e52ee42fd0,Sweden,sweden,wc_1978,1978,,,,,,team_tournament_c1722ff82804
team_6e5fa4d9c48c,Brazil,brazil,wc_1978,1978,,,,,,team_tournament_16f109d3690c
team_32e8419a7ecb,Peru,peru,wc_1978,1978,,,,,,team_tournament_2ac6d72b2492
team_b0ce0b49f97d,Scotland,scotland,wc_1978,1978,,,,,,team_tournament_33d652fd9d49
team_2a52adc7b1da,Argentina,argentina,wc_1982,1982,,,,,,team_tournament_5f24ac2062c3
team_73fa01094ea6,Belgium,belgium,wc_1982,1982,,,,,,team_tournament_78fe13bc3e27
team_bab4ac375ada,Italy,italy,wc_1982,1982,,,,,,team_tournament_6cca6bc621e2
team_6f08c5ddcdd0,Poland,poland,wc_1982,1982,,,,,,team_tournament_4515fcd4d95b
team_6e5fa4d9c48c,Brazil,brazil,wc_1982,1982,,,,,,team_tournament_d5fa799f1ca8
team_e762c470514b,Soviet Union,soviet union,wc_1982,1982,,,,,,team_tournament_7d4d8a801493
team_b0ce0b49f97d,Scotland,scotland,wc_1982,1982,,,,,,team_tournament_89126182d3d5
team_ea14e587f5a8,New Zealand,new zealand,wc_1982,1982,,,,,,team_tournament_77fc8e085d08
team_3b4bbcb74728,Hungary,hungary,wc_1982,1982,,,,,,team_tournament_2b07976ad99d
team_eedf141a7e7b,El Salvador,el salvador,wc_1982,1982,,,,,,team_tournament_462343cbfd6c
team_32e8419a7ecb,Peru,peru,wc_1982,1982,,,,,,team_tournament_f9f4aa056cf0
team_9621cbb93d1b,Cameroon,cameroon,wc_1982,1982,,,,,,team_tournament_13c6f4c9aeaf
team_79efb284d3e2,West Germany,west germany,wc_1982,1982,,,,,,team_tournament_0d18be4515c1
team_49f4fdc64da0,Algeria,algeria,wc_1982,1982,,,,,,team_tournament_aff98be7cfa0
team_1747d4b2dd4b,Spain,spain,wc_1982,1982,,,,,,team_tournament_d80f620a835c
team_1e28fe23fb14,Honduras,honduras,wc_1982,1982,,,,,,team_tournament_d5aae33041bf
team_f48861ca24e2,England,england,wc_1982,1982,,,,,,team_tournament_adc72d3574c8
team_e165d4f2174b,France,france,wc_1982,1982,,,,,,team_tournament_03dde8c449fc
team_fd317045cbdc,Chile,chile,wc_1982,1982,,,,,,team_tournament_577dbfc24829
team_6cd0c266688a,Austria,austria,wc_1982,1982,,,,,,team_tournament_b22beea500bc
team_43c05d43f993,Czechoslovakia,czechoslovakia,wc_1982,1982,,,,,,team_tournament_432b092a4dd8
team_b18fa0d42ad9,Kuwait,kuwait,wc_1982,1982,,,,,,team_tournament_282fdfc39f15
team_950ebd5e5210,Yugoslavia,yugoslavia,wc_1982,1982,,,,,,team_tournament_ff623c5c312c
team_35380523e7c0,Northern Ireland,northern ireland,wc_1982,1982,,,,,,team_tournament_095ebf4da971
team_db5f14430304,Bulgaria,bulgaria,wc_1986,1986,,,,,,team_tournament_0c434c8f9c9a
team_bab4ac375ada,Italy,italy,wc_1986,1986,,,,,,team_tournament_8539dac74167
team_1747d4b2dd4b,Spain,spain,wc_1986,1986,,,,,,team_tournament_d5379b597352
team_6e5fa4d9c48c,Brazil,brazil,wc_1986,1986,,,,,,team_tournament_f9a5afee6ad1
team_c2aadac2ca30,Canada,canada,wc_1986,1986,,,,,,team_tournament_725e4850c5b7
team_e165d4f2174b,France,france,wc_1986,1986,,,,,,team_tournament_c03bd52e9910
team_217b6e5f0a09,Morocco,morocco,wc_1986,1986,,,,,,team_tournament_6f55032101a9
team_6f08c5ddcdd0,Poland,poland,wc_1986,1986,,,,,,team_tournament_7b18bc6c16f9
team_e762c470514b,Soviet Union,soviet union,wc_1986,1986,,,,,,team_tournament_ce369f5ea3c1
team_3b4bbcb74728,Hungary,hungary,wc_1986,1986,,,,,,team_tournament_8ecf9e30b719
team_2a52adc7b1da,Argentina,argentina,wc_1986,1986,,,,,,team_tournament_c4586317d5b6
team_3c6cfbc2415a,Korea Republic,south korea,wc_1986,1986,,,,,,team_tournament_c481b0586b74
team_ae0eea6eb6d6,Portugal,portugal,wc_1986,1986,,,,,,team_tournament_7076c3b79ca1
