match_id,tournament_year,match_date,home_team_id,away_team_id,text_available,text_count,combined_pre_match_text,sources,latest_text_time,min_hours_before_match
match_b2e3aebab4c0,1958,1958-06-11,team_950ebd5e5210,team_e165d4f2174b,0,0,,,,
match_b2f029d9c5d5,1958,1958-06-11,team_2a52adc7b1da,team_35380523e7c0,0,0,,,,
match_d5c462a3a51a,1958,1958-06-11,team_79efb284d3e2,team_43c05d43f993,0,0,,,,
match_492d4101a9f2,1958,1958-06-12,team_88e52ee42fd0,team_3b4bbcb74728,0,0,,,,
match_21489d4c0525,1958,1958-06-15,team_e165d4f2174b,team_b0ce0b49f97d,0,0,,,,
match_36dbf856d72e,1958,1958-06-15,team_88e52ee42fd0,team_eea7530d166b,0,0,,,,
match_3b80d01fa032,1958,1958-06-15,team_79efb284d3e2,team_35380523e7c0,0,0,,,,
match_5a5768319a98,1958,1958-06-15,team_f48861ca24e2,team_6cd0c266688a,0,0,,,,
match_b10119b05c29,1958,1958-06-15,team_6e5fa4d9c48c,team_e762c470514b,0,0,,,,
match_c13ad626052b,1958,1958-06-15,team_43c05d43f993,team_2a52adc7b1da,0,0,,,,
match_fa4fb3ee03ee,1958,1958-06-15,team_3bafbfd8bf5e,team_950ebd5e5210,0,0,,,,
match_fc44ab489345,1958,1958-06-15,team_3b4bbcb74728,team_4edfc924721a,0,0,,,,
match_682a0089244c,1958,1958-06-17,team_e762c470514b,team_f48861ca24e2,0,0,,,,
match_6f83ad166b6c,1958,1958-06-17,team_35380523e7c0,team_43c05d43f993,0,0,,,,
match_d231458e3954,1958,1958-06-17,team_eea7530d166b,team_3b4bbcb74728,0,0,,,,
match_4f9f318a684d,1958,1958-06-19,team_88e52ee42fd0,team_e762c470514b,0,0,,,,
match_a76acaf86a05,1958,1958-06-19,team_e165d4f2174b,team_35380523e7c0,0,0,,,,
match_acb2c81c1fd7,1958,1958-06-19,team_6e5fa4d9c48c,team_eea7530d166b,0,0,,,,
match_fad54625eacb,1958,1958-06-19,team_79efb284d3e2,team_950ebd5e5210,0,0,,,,
match_e05ba45f823e,1958,1958-06-24,team_88e52ee42fd0,team_79efb284d3e2,0,0,,,,
