match_id,tournament_year,home_team_name,away_team_name,text_available,embedding_row
match_442e342d0e52,2010,Portugal,Brazil,1,288
match_9f556e1cb2e6,2010,Korea DPR,Côte d'Ivoire,1,289
match_e8451e4f4485,2010,Switzerland,Honduras,1,290
match_f522f09dcf58,2010,Chile,Spain,0,291
match_03eb11d0c4d7,2010,Uruguay,Korea Republic,1,292
match_7872d18223b6,2010,United States,Ghana,1,293
match_2c9abbe9217a,2010,Argentina,Mexico,1,294
match_dd3b8e53aa37,2010,Germany,England,1,295
match_7fd5081d7dec,2010,Brazil,Chile,1,296
match_ab321278d453,2010,Netherlands,Slovakia,1,297
match_63657d25b8f0,2010,Spain,Portugal,1,298
match_9125989e616d,2010,Paraguay,Japan,1,299
match_c024bf96d2fb,2010,Netherlands,Brazil,1,300
match_fbd6bd67d7cc,2010,Uruguay,Ghana,1,301
match_64557be68652,2010,Argentina,Germany,1,302
match_ea16d09ac01d,2010,Paraguay,Spain,1,303
match_07ef6142599e,2010,Uruguay,Netherlands,1,304
match_91fb4922b109,2010,Germany,Spain,1,305
match_deb597f21c88,2010,Uruguay,Germany,1,306
match_c61afec22572,2010,Netherlands,Spain,1,307
match_5b60f0641bad,2014,Brazil,Croatia,1,308
match_09fd16763f30,2014,Mexico,Cameroon,1,309
match_54ccf64c3466,2014,Chile,Australia,1,310
match_e174c217ca8c,2014,Spain,Netherlands,1,311
match_3483c1b1f8ab,2014,England,Italy,1,312
match_529113984825,2014,Colombia,Greece,1,313
match_7c2ebf021375,2014,Uruguay,Costa Rica,1,314
match_a70f288e9051,2014,Côte d'Ivoire,Japan,1,315
match_1853e0ec2367,2014,Argentina,Bosnia and Herzegovina,1,316
match_83ba1bd24b20,2014,Switzerland,Ecuador,1,317
match_b17b30e087df,2014,France,Honduras,1,318
match_23031242a3e5,2014,IR Iran,Nigeria,1,319
match_60e6c6b7aa39,2014,Ghana,United States,1,320
match_fe32ec6ff3f6,2014,Germany,Portugal,1,321
match_1a443ae9599e,2014,Brazil,Mexico,1,322
match_4f8bcd68f967,2014,Belgium,Algeria,1,323
match_ad6ee42f2c86,2014,Russia,Korea Republic,1,324
match_4e7a74bf439f,2014,Australia,Netherlands,1,325
match_b9b6c3903e25,2014,Spain,Chile,0,326
match_fcac5f653d27,2014,Cameroon,Croatia,1,327
match_8859b9bdf149,2014,Uruguay,England,1,328
match_8f8d05ca976d,2014,Colombia,Côte d'Ivoire,1,329
match_f8c618d27fea,2014,Japan,Greece,1,330
match_435b4fa4d41c,2014,Italy,Costa Rica,1,331
match_760967257c31,2014,Switzerland,France,1,332
match_9c481f24a2af,2014,Honduras,Ecuador,0,333
match_131667a8ee0a,2014,Nigeria,Bosnia and Herzegovina,1,334
match_376fe34133bc,2014,Germany,Ghana,1,335
match_f5a65ca051f6,2014,Argentina,IR Iran,1,336
match_0ae6a66c903c,2014,Belgium,Russia,1,337
match_8f32e289eb02,2014,Korea Republic,Algeria,1,338
match_f545ef1c7f8e,2014,United States,Portugal,1,339
match_2de6ade34a91,2014,Cameroon,Brazil,1,340
match_32b62c135eb4,2014,Australia,Spain,1,341
match_3d144e2b8034,2014,Netherlands,Chile,1,342
match_b9380a0838b2,2014,Croatia,Mexico,1,343
match_231789735959,2014,Greece,Côte d'Ivoire,1,344
match_2716508b2b4a,2014,Japan,Colombia,1,345
match_304e6aeb2f35,2014,Costa Rica,England,1,346
match_e19f884f2939,2014,Italy,Uruguay,1,347
match_0f2ee5b0ebbe,2014,Bosnia and Herzegovina,IR Iran,1,348
match_7cfd0b5d724b,2014,Nigeria,Argentina,1,349
match_a8eccea05550,2014,Ecuador,France,1,350
match_f43d86bc5853,2014,Honduras,Switzerland,1,351
match_02de699b385f,2014,Algeria,Russia,1,352
match_8cacd05354c7,2014,United States,Germany,1,353
match_b4a906c06b36,2014,Portugal,Ghana,1,354
match_c4e30915b07a,2014,Korea Republic,Belgium,1,355
match_97beb2c0abf6,2014,Colombia,Uruguay,1,356
match_fc4153250beb,2014,Brazil,Chile,1,357
match_3ed03dda300e,2014,Netherlands,Mexico,1,358
match_704cd06ebef4,2014,Costa Rica,Greece,1,359
match_11b2b086a7a2,2014,Germany,Algeria,1,360
match_4eaa4ed24884,2014,France,Nigeria,1,361
match_1624c05d84d5,2014,Belgium,United States,1,362
match_7536c5fcec04,2014,Argentina,Switzerland,1,363
match_0db17203721c,2014,Brazil,Colombia,1,364
match_f4a412ff86c5,2014,France,Germany,1,365
match_1156c5240a4d,2014,Netherlands,Costa Rica,1,366
match_7ba552fb3136,2014,Argentina,Belgium,1,367
match_88fce0d27641,2014,Brazil,Germany,1,368
match_8acd040814e4,2014,Netherlands,Argentina,1,369
match_981ed82b46e3,2014,Brazil,Netherlands,1,370
match_38b774cccd8e,2014,Germany,Argentina,1,371
match_3ee0a05214bf,2018,Russia,Saudi Arabia,1,372
match_0a7804398319,2018,Portugal,Spain,1,373
match_53a59c1e0e89,2018,Morocco,IR Iran,1,374
match_b0d45a81a705,2018,Egypt,Uruguay,1,375
match_3bcb591a98d4,2018,Argentina,Iceland,1,376
match_9b0ea3645d86,2018,France,Australia,1,377
match_da374afb34d9,2018,Peru,Denmark,0,378
match_ec264ee559d5,2018,Croatia,Nigeria,1,379
match_9fbdf92a893f,2018,Costa Rica,Serbia,1,380
match_aaf4d1675b3a,2018,Brazil,Switzerland,0,381
match_d3ee8b6c44dd,2018,Germany,Mexico,1,382
match_06198cd0fb13,2018,Tunisia,England,1,383
match_572d7016aa64,2018,Sweden,Korea Republic,1,384
match_65b8c1aee673,2018,Belgium,Panama,1,385
match_648d2eb7c77f,2018,Russia,Egypt,1,386
match_79568af28597,2018,Colombia,Japan,0,387
match_7d9ca90e5b03,2018,Poland,Senegal,0,388
match_2b0bd7d307f0,2018,IR Iran,Spain,1,389
match_38fd381f3124,2018,Uruguay,Saudi Arabia,1,390
match_abb937e79d81,2018,Portugal,Morocco,0,391
match_319089ab251b,2018,Argentina,Croatia,1,392
match_6d79d7ca8a1b,2018,Denmark,Australia,1,393
match_f97c996012f7,2018,France,Peru,0,394
match_296edf8375b4,2018,Brazil,Costa Rica,1,395
match_49fb6aec15d0,2018,Serbia,Switzerland,0,396
match_d0baa25e6177,2018,Nigeria,Iceland,1,397
match_0588ac4e30ba,2018,Korea Republic,Mexico,1,398
match_18ebad8f7639,2018,Germany,Sweden,1,399
match_8c94ce90e80f,2018,Belgium,Tunisia,1,400
match_41484766a024,2018,Japan,Senegal,1,401
match_9e43a0cec3c5,2018,England,Panama,1,402
match_bb17aa334f28,2018,Poland,Colombia,0,403
match_0f36d73d65c8,2018,Spain,Morocco,1,404
match_1fbf5f0a51d7,2018,Uruguay,Russia,1,405
match_25a2e81828a3,2018,IR Iran,Portugal,1,406
match_5b747b0e49cf,2018,Saudi Arabia,Egypt,0,407
match_1bf35de0cbe7,2018,Australia,Peru,1,408
match_3f6b48076f53,2018,Denmark,France,0,409
match_6ce3ad5c8865,2018,Iceland,Croatia,1,410
match_b7ce46c1326b,2018,Nigeria,Argentina,1,411
match_ad8f2e06acf7,2018,Mexico,Sweden,1,412
match_b92ed8c03128,2018,Korea Republic,Germany,1,413
match_cd6ff4b60143,2018,Serbia,Brazil,1,414
match_db321bc52421,2018,Switzerland,Costa Rica,0,415
match_bacbdd41e1c5,2018,England,Belgium,1,416
match_d37c0be156bf,2018,Japan,Poland,1,417
match_d506374daedc,2018,Senegal,Colombia,0,418
match_e355173b2119,2018,Panama,Tunisia,1,419
